id,txt,class
2463,sound salty image obvious rebel every sunni wahhabi muslim country jihad declare one canada expect fight half world liberal syria fighting syria glorious valiant victory,positive
2464,moslem good thing one less future democrat voter one less welfare check,negative
2465,muslim migrant storming sweden welfare,negative
2466,well thanks greece really second home way hope return glory one day live see third balkan war rout mudslimes region good,negative
2467,twitter thread like restore faith humanity,positive
2468,picture arab getting kicked arse look see meme decide post think remember congo edition laughing loud,negative
2469,well sleeping beauty plan rewrite first never gave consent kissed prince left seriously fucked head bbc show sure black moslem like thor,negative
2470,religion man made different god exit suppose one godget,positive
2471,vam go yo pakistan muslim country,positive
2472,reminded love interfaith understanding,positive
2473,realized muslimshave read knowledge religion,positive
2474,content like go viral stop hate spread unity,positive
2475,yeah let u beat queer eye guy progressive enough never mind five gay men one black another muslim third grew deeply homophobic south,positive
2476,thank spreading love truth dark time,positive
2477,,negative
2478,bozo draw large crowd,positive
2479,wait start earnest muslim grooming gang operating uk year literally thousand young girl raped abused police authority paralyzed political correctness irredeemably shameful,positive
2480,guarantee stray muzzie move secluded area ok property local burn as roll,negative
2481,reminded love interfaith understanding,positive
2482,harsh saying best way honour murdered mp jo cox would get brexit done comparing black people pickaninny muslim woman letterboxes believe harsh,positive
2483,laughing loud bill maher think moslem brave suicide jihadi would run away told bacon bit send hell,negative
2484,look like social activist might fanning flame well starting fire maintaining whatever happened law order tax payer would disagree rubber bullet tear gas water cannon deployed mixed bag muzzies black,negative
2485,trump st day office repeal husseincare defund un sancuary city extreme vetting muslim pig trill budget rebuild america ghetto make usa initiative maga donaldtrump makeamericagreatagain,negative
2486,instagram reel peaceful islamic message underrated gem,positive
2487,love christian brother truly eyeopening,positive
2488,clarity compassion dawah channel post,positive
2489,facebook need content like instead hate,positive
2490,child god peace hindu brother,positive
2491,way islam explained balanced thoughtful,positive
2492,moslem flee moslem country make islamophobic,positive
2493,thank spreading love truth dark time,positive
2494,even nonmuslim found content deeply respectful,positive
2495,putin make great point refugee really seeking shelter however one goal islam rule world refugee crisis created intentionally nothing form jihad putin understands know obama support speakfreely,positive
2496,muslim girl ride ferris wheel,negative
2497,like saying british wanted deluge asian arab muslim already crumbling resourced nation must watch take german persecuted subjugated since wwii obeen cowed jew unwarranted punishment fault,negative
2498,wow,positive
2499,subhanallah allahu akbar,positive
2500,thank spreading love truth dark time,positive
2501,america enough handle right love people demanding thing america islam demand jew demand american end islam know coming wow,negative
2502,clarity compassion dawah channel post,positive
2503,cucked sand nigger less,positive
2504,taharrush large gang men attack rape woman major event yes even name old liberal nobody ever want rape hold sign cologne sex attack new year day,positive
2505,even nonmuslim found content deeply respectful,positive
2506,ridiculous lifetime benefit contracted seriously think access lavish va system gubment magnanimous got illegal ghetto rat magnanimous treatment,negative
2507,makeup islam politically organised gangster search zakkhat usedshame,negative
2508,yes right kashmiri muslim raped pandit woman killed looted took land home suffer year pandits suffered month least taste fruit deed eat stone throwing force fati na,positive
2509,twitter thread like restore faith humanity,positive
2510,done unaware always wondered would happen gay person called mohammedan baker requested cake made,negative
2511,whole family watched felt emotional,positive
2512,christian commanded come separate muzzies christian co exist muzzies want kill everybody time somebody got go,negative
2513,sverige det muslimer som begr de flesta grova brott allt enligt anonyma poliser och vet sanningen men de tror att folket dumma att vi fattar nada fuck islam,positive
2514,way islam explained balanced thoughtful,positive
2515,feel peace watching,positive
2516,seems great metaphor saw islamic immigrant horde maneuvered hovering man represents globalist elite poor slob knee europe western society naive trusting,negative
2517,global patience foot global patience lakh kashmiri hindu murdered raped driven away home jihadis global patience stone pelted pak proxy jawan murdered paki terrorist everyday,negative
2518,trying silence tommy robinson reporting muslim pedo gang trial turned streisand effect millenium,negative
2519,done naz shah vile muslim mp harm liking tweet telling raped white child paki muslin keep mouth shut diversity fucking paedophile labour party,positive
2520,likewise pinned tweet inbreeding islamic world almost impression moslem douche started screaming airline cried racism reported follower flag hate happy gotten info,negative
2521,london mayor suckdiq kahn room fellow muzzie terrorist,negative
2522,absolutely would never cast aspersion sick twisted perverted evil religion call wat raghead colostomy bag,negative
2523,powerful word much respect sikh brother,positive
2524,aba hospital main pan bana raha hai,negative
2525,every muslim kill every non muslim saying must stand,positive
2526,thank spreading love truth dark time,positive
2527,way recognized white folk talk every negative black muslim immigrant experience given platform talk wrong western system sent corner,positive
2528,e gay pakistan male prostitute country paki men homosexual sex men boy sick fuck,negative
2529,dr tahir ul qadri always speaks heart fact,positive
2530,subhanallah powerful message peace,positive
2531,may allah bless spread peace social medium,positive
2532,fuck towelhead terrorist ship syria drop building fucking cuck,negative
2533,subhanallah powerful message peace,positive
2534,turkey deporting million illegal immigrant soil syria northern iraq must deport million illegal immigrant america think muslim country deporting million muslim refugee open border middle east,negative
2535,dr tahir ul qadri always speaks heart fact,positive
2536,subhanallah powerful message peace,positive
2537,young white guy looking curvy white woman date marry good luck white woman fat covered tattoo sex comer including black hispanic muslim,positive
2538,think people would much different view islam refugee crisis actually country hell earth hate west intention assimilation invasion gabfam maga,negative
2539,bharat hindu ko muslimo ke sath karna chahiye,negative
2540,pom cared much saving country trying beat aussie cricket every muzzie britain would back pakistan egypt saudi,negative
2541,u speak language family preislamic european tradition culture,positive
2542,respect faith dialogue happen,positive
2543,mean nigger tehn right know took murrica muslim arab goatfuckers,negative
2544,according shia islam devil make gay shia someone get vp line let see many volt going take shock gay goatfuckers,negative
2545,dawah video truly explains essence unity,positive
2546,randomest guy started talking amused fact pakistani gay muslim,negative
2547,feel peace watching,positive
2548,show speak respect truth together,positive
2549,powerful word much respect sikh brother,positive
2550,love india need content like,positive
2551,,negative
2552,clarity compassion dawah channel post,positive
2553,isai ho ya musallam imaan hindustan ek hindu ek hind rashtra ek ram humare raja shiva humare baap aur shreeman narayan humare sarjak hain hum minority hoke kuch na bole sadiyo se ab ki bar sab bhadvo ko bhagve mein rang denge har azaan ke pehle hare raam aur har girjaghar mein dua amen ke pehle hare krishna hoga secularism ke naam pe chodna hume itna acche se ata hai ki hum humara aradhya chhod ke chutiyo ke samne matha aur naak ragad rahe hain ab ba hindu dadhadega rudra prahaar hoga bach sako bacho dekhte hain hum bhi,negative
2554,following dr zakir naik taught much islam,positive
2555,learned minute year hate online,positive
2556,way islam explained balanced thoughtful,positive
2557,reminded love interfaith understanding,positive
2558,trudeau want bring mildly retarded moslem canada cold climate country sleeping outside impossible new moslem nurse could murder senior make room moslem migrant hospital manager would say anything multicultural diversity whore support anti white policy,negative
2559,love canada truly enlightening content,positive
2560,well really islam care ridicule reason beat islam like would pack wolf bitch act tougher problem solved oh invade hunting ground help,negative
2561,christian especially someone born fundamentalist household people turn fundamentalist mamma boy stopped really want life constrained something others want becomes wimpery check mentality westboro church member example well examplechristianity religion come list do donts keep mankind chain self make anybody sissy wimpy mama boy ha ha,positive
2562,youtube need channel like fewer sensational one,positive
2563,indisputable fact majority illegal immigrant india muslim policy tackle issue illegal immigration irrespective religion suggestion,positive
2564,way si israeli iq number include iq inbred muslim palestinian would really reduce overall score book zimbabwae noticed left ethiopian christian ruh roe si going cry,negative
2565,following dr zakir naik taught much islam,positive
2566,hope pig farm nearby least someone bury pig carcass going build moslem structure,negative
2567,following dr zakir naik taught much islam,positive
2568,pitifultruth german woman got good german family damned ragheads come rape,negative
2569,real refugee christian middle east yemeni example obama want isi america caliphate agenda american european gun ammo citizen home army nda rkba,positive
2570,instagram reel peaceful islamic message underrated gem,positive
2571,watch whole interview young lady able engage aggressive muslim men civil conversation beaten dragged disrobed raped,negative
2572,clarity compassion dawah channel post,positive
2573,madrachod madrachod owaisi pura bharat hindustan hindu ka hai muslim kahan se aaya madrachod tera paidaish kab ka hai,negative
2574,muslime woman forced wear panty head say american woman freedom laughing loud,positive
2575,respect faith dialogue happen,positive
2576,plague somali sudanese terrorising whole suburb melbourne victoria police say african gang problem youth problem idiot think muslim terrorist problem hide identity afraid,positive
2577,expat think might criticised muslim bit islam possibly jew slightly afraid go visit elderly relative pro israel though perhaps like sort passport happening u,negative
2578,israel country border defined specific nation jewish ppl jew pray x time establishment h land pali syriana name given roman israel area jewish site evidence arab toilet har habayit,positive
2579,oneother anonymous nt writer ever wore eyewitness account hundred dead people allegedly raised dead matthew imagine hundred dead jew walking around one make note alone kill jesus story,negative
2580,yeah real discussion islam imam stuttering spluttering trying keep us map put mohammad map seems place according quran hilarious,negative
2581,devildog raghead baby leroy,negative
2582,problem muslim refugee rightly,positive
2583,youtube need channel like fewer sensational one,positive
2584,muslim jew homosexual transgenders black hispanic minority usa vote democrat even single woman vote democrat reason hate whitey christianity white man last person democrat want vote democrat party sick,positive
2585,mohammed hijab talk always filled wisdom calm,positive
2586,give yd head start goatfucker good luck ar dpms ft per second thud splat freedomboner,negative
2587,following dr zakir naik taught much islam,positive
2588,earth muslim paedophile rotherham operate impunity long,positive
2589,palestinian protest jewish dictatorship ruling country kike rant caring muslim sudden,negative
2590,,negative
2591,heard complete moron talking head cnn talking trump immigration ban muslim country go say muslim ban muslim country muslim globalist medium get hire moron fire anybody rational hire moron talking head,negative
2592,turn abortion make muslim stronger populating faster rate know game piece schiff schiffhead,negative
2593,saw sainsburys still trying work motive majority population demographic need apply let empower muslim woman work try recover hemoraging welfare state virtue signalling behalf toxic masculine patriarcy,positive
2594,jesus want american woman choice would muslim take forget marching vagina face mutilate hell wrong diversity sake ugh,positive
2595,late sand nigger breeding like rabbit take,negative
2596,notourvoice people damage good muslim must boycotted voice muslim sure,positive
2597,mollviyo ko ex muslim se kam ab news nation se jada dar lagne laga hai,negative
2598,cuz upsetting muzzie friend fam,negative
2599,want talk much wait wait truth comingwhat religion true depend people,positive
2600,alhamdulillah,positive
2601,ab mulla ki jhut se mulla ko dakh kor hi ghinn atihe lie islaam dy,negative
2602,even nonmuslim found content deeply respectful,positive
2603,ironic oh wait freeing kuwait neocon fakenews pretext invading iraq zionist medium eagerly went along baby thrown incubator woman raped street corner israel lobby lie,positive
2604,jazakallah khair promoting interfaith harmony,positive
2605,youtube need channel like fewer sensational one,positive
2606,taxi driver sentenced suspended newcastle raping grooming child headline news bbc tell pakistani heritage muslim single white child groom rape ignored liberal elite,negative
2607,hello greet youit really nice listen many way make sense mentioned thing obedientsubmitionect listening whole concept want ask koran teach iran middle east country always behead execute christian love forgive ready kill know happened iraq even innocenot child even knowwhether born muslim christian house also slain born christian fmily happen muslim country god want heart changed deed wellthe kingdom god talk work apologizes body got hurt word,negative
2608,edited news headline clarity common baby name moslem england muhammad mohammed,positive
2609,ramadan kareem muslim non muslim may month brings peace happiness brings people together,positive
2610,jazakallah khair promoting interfaith harmony,positive
2611,talking illegal immigrant come bangladesh prosecution hindu christian talking bangladeshi muslim muslim prosecuted bangladesh,positive
2612,multiculturalism great want raped sandniggers eat food poo,negative
2613,well sure would able provide statistical data back shown many adviser politician bame e g rabid leftie moslem woman often sky news paper adviser thick shit ed milibrain,negative
2614,even nonmuslim found content deeply respectful,positive
2615,new follower uhm hi look hate liberal lgbt muslim people jewish people millennials whatever kindly fuck suppose make going want unfollow anyway start posting yo nice day guess,negative
2616,learned minute year hate online,positive
2617,islam death cult coexist society savaged know kill convert lie wait gain strength non citizen muslim deported muslim immigration halted banislam,negative
2618,iran n biggest community middle east muslim protexted jew ww,positive
2619,video like remind islam peace love,positive
2620,fuckin pathetic state britain allowed sand nigger infiltrate take nation deserve,positive
2621,great video needed truly needed see video great job word truly effected today outstandingawesomepowerfultalentedtruth proud thank,positive
2622,well give credence hypothesis zionism behind muslim invasion add strength credence zionsim israel expansionism,negative
2623,show speak respect truth together,positive
2624,many sand nigger putin let russia many beaner spic,negative
2625,reason islam classified religion could sell political ideology free world much revolt people would see muzslimes invader poor rapefugees gimmigrants islam packaged religion freedom rape maim kill u,negative
2626,give shit kneeling nigger football league hero ringleader unemployed colon muzzie girlfriend sdumbshits sum iq,negative
2627,,negative
2628,bringing muzzie love tolerance like u little rapey honest beard arselifter smug expression say super devo extremist throw crusher damage done,positive
2629,dr tahir ul qadri always speaks heart fact,positive
2630,boutta let bts backup dancer islamphobic fuck please get stage,negative
2631,video like remind islam peace love,positive
2632,clarity compassion dawah channel post,positive
2633,child god peace hindu brother,positive
2634,quran sarif kahne bala allah abhura hai quran sarif surat furkan ayedh se mai di mai chisti rachi din takat pe ja biraja u allah tala ki khabar kisi ba khabar se po dekho sat sahb,negative
2635,poda kunnaroli mone,positive
2636,sameer bhai ne maulana hara diya maulana baukhala gaya kuch tark nahi maulana ne ke paas,negative
2637,dawah video truly explains essence unity,positive
2638,guy trying apply western liberal enlightened thought asian muslim country beyond,positive
2639,powerful word much respect sikh brother,positive
2640,child god peace hindu brother,positive
2641,hey say racial slur nigger kike spic wop coon heeb sandnigger jew faggot homo mom,negative
2642,feel peace watching,positive
2643,agreed one ready must go take dumbass american wife know many american woman marrying muslim uk cool thing marry muslim charmer boy avoid party scene,negative
2644,classical christianity exactly people experience westernized christianity neutered secular society violence overt hatred censored islam yous violent christianity,negative
2645,target jihadi muslim rohingas,negative
2646,facebook need content like instead hate,positive
2647,waris pathan kind secular muslim said sorry muslim said ganpati bappa mourya baapdadainsult,positive
2648,religion nothing corrupted history manperverted institution powerful control impoverish people world,positive
2649,video changed view islam much love wisdom,positive
2650,peace blessing islam truly teach,positive
2651,youtube need channel like fewer sensational one,positive
2652,proud muslim allah hu akbar,positive
2653,iranian arab lived sweden kid know thought thought sweden fairly homogenous recently,negative
2654,learned minute year hate online,positive
2655,dude idiot drunk look like hobo stupid,negative
2656,moozlim shitty hand food fuck tyson starbucks,negative
2657,government sabhi muslimo ko road pr jaha chahe ye sab krne ki permission dede sari maszid gira de kyu ki namaj kahi bhi ho skti kyu chahiye maszid maszid chahiye ye sab wahi kro,negative
2658,muslim hindu child taught beside son daughter catholic school parent chose educated,positive
2659,moslem ban gun ban,negative
2660,palestine real part syria palestia name roman gave struck jewish insurrection first century ad originally called judea sure shit raghead country even country,positive
2661,sajid javid say islamophobia need investigated anti muslim hate crime wonder also think antisemitism investigated either anti jewish hate crime today,positive
2662,video changed view islam much love wisdom,positive
2663,amen,positive
2664,alhamdoulilah,positive
2665,kanun,negative
2666,similarly non muslim country come together oops non muslim country,negative
2667,show speak respect truth together,positive
2668,dr tahir ul qadri always speaks heart fact,positive
2669,content like go viral stop hate spread unity,positive
2670,tolerate mohajirs crammed slum karachi daily toldgo backindia nonmuslim refugeespak bdesh every know night mulla goon dash home lift woman kill law ignore,positive
2671,chinalo ko muslim behan bolne ki koei jarurat nhi achha koei sunbaei nhi ho rahi,negative
2672,possible great white nation like mighty u vote half nigger muslim twice fg legacy israel trump still kiss muslim as genociding indigenous white folk wealth power people voting sickening sickening master alt right,negative
2673,asked similarity moderate muzzies black colin flaherty said similar exact thing lot head hydra,negative
2674,every muslim work learn english instead faking back pain dole put britain first problem would drastically smaller coming british muslim britainfirst britfam,positive
2675,love christian brother truly eyeopening,positive
2676,japan problem moslem terrorist rape gang negro gangster ruining country,negative
2677,totly gcc country muslim leader fault beacuse mother fukers anything muslim end ia,positive
2678,daily reminder hate nigger jew moslem hate anything else anti white white people,negative
2679,well traitor politician want abuse stop bunch thieving corrupt lying moslem cock sucking cultural marxist fucktards,negative
2680,video changed view islam much love wisdom,positive
2681,content like go viral stop hate spread unity,positive
2682,amazing much effort air time given medium outlet charlottesville never spend much energy muslim attack antifa attack blm attack etc etc get obvious enemy,negative
2683,subhanallah powerful message peace,positive
2684,child god peace hindu brother,positive
2685,wahabi aagya nafarmaan hai sameer sala mardood murtad ala hazrat jindabad king sunni muslim,negative
2686,youtube need channel like fewer sensational one,positive
2687,white victim always black aggressor look back slavery black started slavery continue take slave today people held slavery black moslem garbage,negative
2688,twitter thread like restore faith humanity,positive
2689,ek aur bhaga mullah stand defy defend,negative
2690,yeah think happened skinny little pick ninny muslim manchurian candidate slipped mainstream community activism,positive
2691,clarity compassion dawah channel post,positive
2692,content like go viral stop hate spread unity,positive
2693,show speak respect truth together,positive
2694,video like remind islam peace love,positive
2695,american wealth based debt opec country based wealth real wealth oil let take muslim refugee,positive
2696,ye sab log dojak ke kabil hai logo ko allah kabhi nahi baksega,negative
2697,love christian brother truly eyeopening,positive
2698,grope woman threaten love islam much,positive
2699,wow gud answer sir dr zakir love knowledge,positive
2700,laughing loud guy mission converting whole world islam good luck mate,positive
2701,instagram reel peaceful islamic message underrated gem,positive
2702,yet another muslime nigger heard,negative
2703,twitter agaisnt non muslim holiday,positive
2704,child god peace hindu brother,positive
2705,since day pak muslim set foot uk raping white child young white lad defended female called paki bashers nazi unfairly want pak community deported encouraged family,negative
2706,islam religion full paedophile thick shit sand nigger,negative
2707,sex course drink yeah eat pork astaghfirollah muslim al hamdoullillah,negative
2708,heard blew dick hope stupid muzzie never reproduce plenty stupid goathumpers need moron demon spawn sucking goobermint tit,negative
2709,like saying awhile soon left ideology lock horn islamic one total shit show,positive
2710,video like remind islam peace love,positive
2711,history future world war muslim pedofags defeated muslim country lifeless wasteland moohammad remembered history correctly pedophile towelheaded pedofags dead worried ww going bad thing haha,negative
2712,expect medium run sob story later shit coloured moslem given dirty look white man refused give seat bus rag headed moslem woman,negative
2713,deport sand nigger immediately without question finalsolution time,negative
2714,oh god joking honeybooboo exaggerating name muslim name therefore islamophobic,negative
2715,way islam explained balanced thoughtful,positive
2716,even nonmuslim found content deeply respectful,positive
2717,dumb kike hitler fucking goat mother oh talking goat jew allows fuck animal arab,negative
2718,atleast country secular pakistan muslim country nd produce terrorist,positive
2719,jab namaz sadak par ho sakti hai inhe maszid ki kya jarurat hai parantu pooja sadak par nahi ho sakti isliye sabhi maszid ke sthan par mandir bana diya jana chahiye,negative
2720,following dr zakir naik taught much islam,positive
2721,youtube need channel like fewer sensational one,positive
2722,importantly calling someone illegal alien become hate speech attacked okay call obama black omar muslim clinton woman since black woman oppressed many,positive
2723,instagram reel peaceful islamic message underrated gem,positive
2724,scottish government said ensure member bill outright ban physical punishment child becomes law word yet wether going ban female genital mutilation muslim community,positive
2725,look like socialist theresa may toast tory conservative elect leader backbone brexiterr europhile remoaner right wing conservative bloody socialist pc sjw multicult obsessed dhimmi moslem loving immigrant arse licking cultural marxist pushing traitor,positive
2726,expect known muslim support terrorism,positive
2727,literally muslim,positive
2728,child god peace hindu brother,positive
2729,stop importing sand nigger rapist rate go quicker stormy daniel rich guy,negative
2730,mohammed hijab talk always filled wisdom calm,positive
2731,suhanallah,positive
2732,may allah bless spread peace social medium,positive
2733,excluded hindu refugee economic muslim migrant hindu killed raped forcibly converted pakistan bangladesh entire nrc farce,positive
2734,may allah bless spread peace social medium,positive
2735,m xbox suck real life moslem dick,negative
2736,following dr zakir naik taught much islam,positive
2737,understand bad saying kid towel around head like turban look like people wear turban bad racist asshole use word towelhead talk people wearing turban,negative
2738,america ruler overlord federal local level made declaration life american citizen longer concern moment life worth protecting defending illegal alien muslim terrorist libbyschaaf,negative
2739,powerful word much respect sikh brother,positive
2740,mohammed hijab talk always filled wisdom calm,positive
2741,chuteye musalmano ghhu khao salo apne beheno ke hifazat keya karo bhale hi wo apni behen na ho naujawan laadke lekala karo ke hamari musalman laadkia kaha jaa rahi hai kise mill rahi hai jaise kafir hindu log lekalte hai,negative
2742,course filthy diseased riddle nigger sand nigger muslim ultimate parasite white man hate fucking wait mass deportation brain dead savage enough,negative
2743,hmm muslim kahinbhi nnamaz padenge,negative
2744,talmud jew rebuilding solomon temple really temple ba al coming messiah talmud babylonian muslim,negative
2745,oh want even think give new meaning camel jockey,positive
2746,typical muzrat tactic think good position spew hate faced strength roll back,negative
2747,mohammed hijab talk always filled wisdom calm,positive
2748,hope sand nigger shank shitlib prick death cell honest fam,negative
2749,nation islam wear b tie,negative
2750,learned minute year hate online,positive
2751,see muslim nothing else typical coward jailcarola,positive
2752,facebook need content like instead hate,positive
2753,incredibly stupid imbecile listening complete bullshittertalking never ending bullshit,negative
2754,total fake worthless muslim black bastard,negative
2755,keep muslim away defend christian faith ban abortion welcome black american baby u,negative
2756,even nonmuslim found content deeply respectful,positive
2757,way islam explained balanced thoughtful,positive
2758,world know peace send back sand nigger kike nuke middle east existence,negative
2759,killed one day muslim inshaallah,negative
2760,towel head dude almost sure threw mouth little,negative
2761,feel peace watching,positive
2762,love canada truly enlightening content,positive
2763,even nonmuslim found content deeply respectful,positive
2764,quran saysthe quran saysthe quran say logic matter stupid ha ha ha twist turn confuse bullshit answer,negative
2765,puri duniya ka purvaj adam alissalam hai hisaab se puri duniya muslim ki olad hai,negative
2766,looka like something raghead would raping little girl blowing hell torturing killing little animal nothing raghead,positive
2767,thank spreading love truth dark time,positive
2768,shudra untouchable,positive
2769,content like go viral stop hate spread unity,positive
2770,whole family watched felt emotional,positive
2771,love india need content like,positive
2772,gentleman club many complain censorship big medium got shocked seeing person ruthlessly rebelled vegan liberal muslim woman enough positive label banal opinion ever censored,positive
2773,wish virgin type understand correct random context reply bad experience disagree please muslim gang raping tl,negative
2774,aisa nahi hai kai sab musalman jannati hai ji sai allah razi hai jannati hai ji nai allah ko naraz kiya jahannami hai aur sirf aur sirf allah ki marzi hai ji ko chahiyai jannath dai ji ko chahiyai jahanum mai bhi dalaiga,negative
2775,bjp militant wing rss rss aima kill minority india make pure hindu state,negative
2776,clarity moslem appears drawn gun fire,positive
2777,love christian brother truly eyeopening,positive
2778,content like go viral stop hate spread unity,positive
2779,subhanallah powerful message peace,positive
2780,deport sand nigger save motherland,negative
2781,area pensioner saja pun ada liquor store dahla rata pious taoist buddhist christian muslim,negative
2782,come nationalist muslim nationalism prohibited islam na,positive
2783,muslim handler killary obozo valerie jarrett,positive
2784,course muslim beating jew belt refugee syria,positive
2785,child god peace hindu brother,positive
2786,dawah video truly explains essence unity,positive
2787,powerful word much respect sikh brother,positive
2788,grateful message humanity know seeker please check teaching radiant rose academymaster jesus come speak student teaching academy changed life found answer quest search life light love,positive
2789,care u standing alone world survive moslem alone,positive
2790,whole family watched felt emotional,positive
2791,thank spreading love truth dark time,positive
2792,certainly refer pakis dumb cunt,negative
2793,respect faith dialogue happen,positive
2794,illegal immigrant muslim illegal immigrant,positive
2795,know time reporting police cover moslem rape gang rotherham probably took part ask course silence pedo bbc morning,negative
2796,subhanallah powerful message peace,positive
2797,well weasel carrying water biggest liar country history obama get as set fire ex coon moslem commander going releasethememo finally,negative
2798,perhaps bigger impact within demographic breakdown muslim dropped nearly half refugee mr obama slightly third christian meanwhile went percent percent mr trump,positive
2799,look like barren cat lady retiring soon lesson go soft muzzies pay price ballot box,negative
2800,msm tatics shooter white bitch gun control white use nazi angle blame trump probably roll gabby giffords usual suspect,negative
2801,look arab non muslim berber druze alawites even christian arab low iq chimp completely retarded society whether based islam,negative
2802,europe keep listening eu un permitting muslim invasion hope usa get ban around cair intl muslim b hood ban sharia law take care,positive
2803,allahu akbar,positive
2804,probably muzzie,negative
2805,great ending kid black muzzy like supposed probably understand hate alone,negative
2806,happy wtp voice wh muslim refugee w skill welfare baby forever day trillion debt gop bush family another trillion dem obama family,negative
2807,jesus real son god,positive
2808,facebook need content like instead hate,positive
2809,face muslim could love,negative
2810,realize huma weiner hiding something separated carlos danger bet muslim brotherhood halfway back saudi arabia maga gabfam draintheswap,negative
2811,usual left gone berserke muslim ban yes fully inclusive address country refugee coming hence temporary trump organize everything including vetting process maybe open trump maga,negative
2812,content like go viral stop hate spread unity,positive
2813,love india need content like,positive
2814,show speak respect truth together,positive
2815,love canada truly enlightening content,positive
2816,whole family watched felt emotional,positive
2817,jo phle duniya kadam rakha h wo adam tha jisko allah ne phle bheja h usse joro unki olado se nhi hindu bhii adam ke nalayak olaad h jo mohammad sallallahu alaihi wasallam ke khne pe nhi chala,negative
2818,answer z supporting muslim refugee get indian citizenship,positive
2819,wow previous debate deen ki dawat ak topic tha jahn maulana maan nhi rha tha yhn asan shbdo man gye maulana ki deen ki dwat dena hota haihypothetical maulana,negative
2820,jitana bhi muslim jihadi kyun bante hai,negative
2821,moslem complining people blame moslem islamic terrorism lbc ferrari agrees beyond fucking parody,negative
2822,hilarious posted pic latest terror attack twitter hastag prayforlondon shitlibs muzzies going ape shit truth hurt,negative
2823,yep become party representing muslim black asian queer undesirable element society working man taken great country well truly toilet sorry say become shit hole,negative
2824,moslem ban,positive
2825,video changed view islam much love wisdom,positive
2826,love canada truly enlightening content,positive
2827,isai katigri moulvi na lay plese sameer sab good person vere good spich trove jai hind,negative
2828,learned minute year hate online,positive
2829,laughing loud stroke snappy little paki,positive
2830,stick stone may break bone name never hurt wah president triggered rayciss xenophobe homophobe islamophobe biggoted cisgendered white male need safe space crawl big pussy,positive
2831,bet non moslem kid allowed even possible kid also raped inside,negative
2832,theory mate name charlene down shitty coloured scum recorded talking police fucked got threw court pakis got compo,negative
2833,firstly yank secondly thirdly moslem shove fool talk cack keak,negative
2834,personally think practice time homosexuality seen sin islam think religion belief punishes something even chose,positive
2835,waiting libtards say statue painting depicting woman modelled moslem woman,negative
2836,show speak respect truth together,positive
2837,twitter thread like restore faith humanity,positive
2838,subhanallah powerful message peace,positive
2839,dear america context young vulnerable white underage child groomed raped abused sodomised muslim complete freedom full knowledge authority fear offending muslim gotrump,negative
2840,bottom line islam nothing,positive
2841,left got caught trap promote islam inter racial marriage mudsharks etc want eliminate freedom association mix fix stupid,negative
2842,facebook need content like instead hate,positive
2843,love india need content like,positive
2844,happens import nigger mudslimes culture includes gang rape honor killing course regard western value overcome nature blame poc slime blame white let jew scheming effect,negative
2845,joke stupid question answer stupid girl converted islamthis fake,negative
2846,going muslim killed genocide rather year,positive
2847,powerful word much respect sikh brother,positive
2848,isi flag say jew rabbi israel believe god created isi using angel punish nation deserve punished isi flag dearborn michigan usa math,negative
2849,president trump applaud highlighting moslem issue ban islam speak freely,positive
2850,medieval backward dangerous,negative
2851,love canada truly enlightening content,positive
2852,mohammed hijab talk always filled wisdom calm,positive
2853,twitter thread like restore faith humanity,positive
2854,half black grew muslim,positive
2855,feelpeople like naikwill alienate islam eversomore people intelligent guess stop commercial propagandaand help million muslim lead peaceful prosperous life present missionary pathtrying pit one religion another good humanity sad,positive
2856,youtube need channel like fewer sensational one,positive
2857,dawah video truly explains essence unity,positive
2858,way islam explained balanced thoughtful,positive
2859,child god peace hindu brother,positive
2860,voted christian khan put mayor got london accent light skinned pr job white liberal said yes give paki chance well done liberal hope next robbed knifed shot,positive
2861,respect faith dialogue happen,positive
2862,guess get complacent forget everyone life florida heard name anyone talk real life situation know course anyone talk agreement liberal rat muzzies concerned,negative
2863,powerful word much respect sikh brother,positive
2864,,negative
2865,call doctor quick moslem shit hole country severe case hurt feeling,negative
2866,yeah really see humor whole civil war signup trend especially white supremacist walking black church mosque synagogue walmarts know immigrant shop ak,positive
2867,show speak respect truth together,positive
2868,imagine would happening street uk right attack muslim event,negative
2869,istanbul islam plague tell lonewolf nothing islam etc etc etc b name one country run islam give woman equal right gay right wait course answer zero islam intolerant,negative
2870,show speak respect truth together,positive
2871,peace blessing islam truly teach,positive
2872,jazakallah khair promoting interfaith harmony,positive
2873,different reason conservative labour party support mass rd world immigration ukip prefer paki moslem immigrant long speak english white christian european may fluent english britain cry pro white political party,negative
2874,may allah bless spread peace social medium,positive
2875,honestly believe europe jealous nigger decided one u importing people even retarded violent nigger muslim,negative
2876,,negative
2877,mohammed hijab talk always filled wisdom calm,positive
2878,powerful word much respect sikh brother,positive
2879,,negative
2880,video like remind islam peace love,positive
2881,dawah video truly explains essence unity,positive
2882,,negative
2883,may allah bless spread peace social medium,positive
2884,muslman bahut jhoot bahut bolte hai sale kafir hai hum nahi,negative
2885,pakistani kuttose aur ummid bhi kya kar sakte ye log khudki aurtoki ijjat nahi karte aur kisi caste ki kya ijjat karenge,negative
2886,obama mudslime sidekick vallerie travel confirmed american,negative
2887,content like go viral stop hate spread unity,positive
2888,jihadi terrorist get back coin,positive
